0x9669_1222_0,1|2|2|2,5687322700412730456,abcd
0x9669_1222_1,1|2|2|2,5775272374948098898,abcd
0x9669_2223_0,2|2|2|3,3348917023058755607,abcd
0x1ee2_2234_0,2|2|3|4,10660450947578103836,abcd
0x1ee2_2243_0,2|2|4|3,8717584436679787656,badc
0x2adc_1222_0,1|2|2|2,4466575021540949564,acbd
0x2adc_1222_1,1|2|2|2,11655695534756124678,adcb
0x2adc_2221_0,2|2|2|1,15065624838269663706,cbda
0x2adc_2221_1,2|2|2|1,3426905849223151311,bcda
0x2adc_2122_0,2|1|2|2,15049131240896192554,badc
0x2adc_2122_1,2|1|2|2,5514189621393242717,dacb
0x2adc_2122_2,2|1|2|2,580471306730047528,bacd
0x2adc_2122_3,2|1|2|2,1599870091578579891,bacd
0x2adc_2122_4,2|1|2|2,5189092278411062230,cadb
0x2adc_2122_5,2|1|2|2,14866882299785736869,dabc
0x2adc_2122_6,2|1|2|2,1856604566889346891,cabd
0xaac3_3322_0,3|3|2|2,12469265941310230657,dcba
0xaac3_2223_0,2|2|2|3,13275561107647745089,bcad
0xaac3_2432_0,2|4|3|2,12022836190195347437,adcb
0xaac3_4232_0,4|2|3|2,4468837732769366132,dacb
0x01fe_2221_0,2|2|2|1,5292567157296837753,dcba
0x01fe_2221_1,2|2|2|1,3348495549541453327,dcba
0x01fe_2221_2,2|2|2|1,8104679838616664932,dcba
0x01fe_2221_3,2|2|2|1,6925852741335000238,dcba
0x01fe_4322_0,4|3|2|2,4062657629115450687,dcba
0x099f_1222_0,1|2|2|2,7761505898493557408,acdb
0x099f_1222_1,1|2|2|2,8817583134592916798,abcd
0x099f_3322_0,3|3|2|2,1208048446420890157,cdab
0x099f_2332_0,2|3|3|2,5098147692894594599,bdca
0x099f_3242_0,3|2|4|2,10926807184211608135,cbda
0x099f_2311_0,2|3|1|1,10690177201333552257,cdab
0x099f_2131_0,2|1|3|1,3568232065501010962,cbda
0x037e_2212_0,2|2|1|2,5080034294982223057,bdac
0x037e_2221_0,2|2|2|1,4277690715429390990,bcda
0x037e_3133_0,3|1|3|3,12731182114361799718,dabc
0x037e_3223_0,3|2|2|3,12151108956703317834,dabc
0xbcc2_1222_0,1|2|2|2,15050589478799730754,abcd
0xa9d4_2122_0,2|1|2|2,15470768846009316015,dacb
0xa9d4_2122_1,2|1|2|2,17082057630788939825,dabc
0xa9d4_2212_0,2|2|1|2,5023673761449471602,bdac
0xa9d4_2212_1,2|2|1|2,14448586358026920622,bcad
0xa9d4_3223_0,3|2|2|3,12706130566166727278,cabd
0x835e_1222_0,1|2|2|2,5035719921385478171,abdc
0x835e_1222_1,1|2|2|2,14673283910900286897,adbc
0x835e_1222_2,1|2|2|2,17647271593527085086,abcd
0x835e_3123_0,3|1|2|3,6655032323445072931,dabc
0xeee1_2222_0,2|2|2|2,13266397349767998831,acdb
0xeee1_2222_1,2|2|2|2,10568757611625432723,acdb
0x07e6_2212_0,2|2|1|2,858002946336437708,cbad
0x07e6_1222_0,1|2|2|2,8242853865705524169,abcd
0x07e6_1222_1,1|2|2|2,14800818202763370562,abdc
0x07e6_1222_2,1|2|2|2,4363057452643619521,abdc
0x07e6_1222_3,1|2|2|2,18400999273891227524,abcd
0x07e6_2122_0,2|1|2|2,2227003627083823226,dacb
0x87e8_2122_0,2|1|2|2,820642905531536846,dacb
0x87e8_1222_0,1|2|2|2,4028219886273700335,acbd
0x87e8_1222_1,1|2|2|2,8770056713358336066,adbc
0x87e8_1222_2,1|2|2|2,12870822828654075805,abcd
0x87e8_1222_3,1|2|2|2,111882569191043666,acdb
0x87e8_2243_0,2|2|4|3,10880830519477876581,abdc
0x87e8_2243_1,2|2|4|3,8432696909006963617,abdc
0xe881_2222_0,2|2|2|2,18320353529706013467,abcd
0xe881_2222_1,2|2|2|2,1018624008654107693,abcd
0xe881_2222_2,2|2|2|2,10228616453702014404,abcd
0xe881_2222_3,2|2|2|2,6046592275677269909,abcd
0x0bb6_2221_0,2|2|2|1,6113464454204387235,cbda
0x0bb6_1222_0,1|2|2|2,16536882445311144514,adbc
0x0bb6_1222_1,1|2|2|2,5579913853656791613,acdb
0x0bb6_2212_0,2|2|1|2,13058484469298431196,bcad
0x0bb6_2212_1,2|2|1|2,18064795731316387064,dcab
0x0bb6_3133_0,3|1|3|3,10732883834927257438,cabd
0x07e9_3231_0,3|2|3|1,11712403825411516680,cbda
0x07e9_1233_0,1|2|3|3,6332085667634460716,abcd
0x9ee0_1222_0,1|2|2|2,1296661230253489314,abcd
0x88e1_2222_0,2|2|2|2,7280727660661151796,adbc
0x88e1_2222_1,2|2|2|2,16278379991555458363,cdab
0x88e1_2222_2,2|2|2|2,12150179812122643153,abdc
0x88e1_2222_3,2|2|2|2,4188914947017398993,dcba
0x88e1_2222_4,2|2|2|2,1922374479029336991,dacb
0x88e1_2222_5,2|2|2|2,5888758796580039915,cbad
0x88e1_2222_6,2|2|2|2,3597717766243551462,acbd
0x88e1_2222_7,2|2|2|2,8640648606687280781,adbc
0x88e1_2222_8,2|2|2|2,14546068276855983284,abcd
0x88e1_2222_9,2|2|2|2,16696756662137827059,cbda
0x88e1_2222_10,2|2|2|2,6226439112498318340,dbac
0x966a_2234_0,2|2|3|4,14133587564149936965,abcd
0x19e9_2212_0,2|2|1|2,9702174278458636276,cbad
0x19e9_2212_1,2|2|1|2,16824855493433077631,cdab
0x988f_1222_0,1|2|2|2,9519337474742096392,adbc
0x817e_2122_0,2|1|2|2,8255709013187815190,dacb
0x817e_2222_0,2|2|2|2,14437314560119002998,abdc
0x817e_2222_1,2|2|2|2,3069009498579240308,abcd
0x817e_1222_0,1|2|2|2,16296164548362762792,abcd
0x817e_1222_1,1|2|2|2,8257929778300192944,abdc
0x817e_3331_0,3|3|3|1,16985708318396709159,dcba
0x9786_4322_0,4|3|2|2,4673445480968807936,dcba
0x9786_3422_0,3|4|2|2,1400392226911149348,cdab
0xe998_2221_0,2|2|2|1,17823322522480591740,cbda
0xe998_2212_0,2|2|1|2,1283993836245297071,cdab
0xe9ea_2221_0,2|2|2|1,6775177709771953772,cdba
0xe9ea_2221_1,2|2|2|1,8936539730149182512,bcda
0x2882_1122_0,1|1|2|2,17010755297646046750,abcd
0x2882_1212_0,1|2|1|2,16766982480158355479,bcad
0x8998_3322_0,3|3|2|2,13191904348760338422,cdab
